[21:17:30] [I] Prof:          43.946ms : initWindow
[21:17:31] [I] Prof:          97.578ms : createInstance
[21:17:31] [I] Prof:           0.070ms : setupDebugCallback
[21:17:31] [I] Prof:           0.050ms : createSurface
[21:17:31] [I] Prof:           9.839ms : pickPhysicalDevice
[21:17:31] [I] Prof:          78.805ms : createLogicalDevice
[21:17:31] [I] Prof:           0.053ms : createCommandPool
[21:17:31] [I] Prof:           0.093ms : createSyncObjects
[21:17:31] [I] Prof:         291.478ms : createTextureImage
[21:17:31] [I] Prof:           0.055ms : createTextureImageView
[21:17:31] [I] Prof:           0.033ms : createTextureSampler
[21:17:31] [I] Prof:         272.923ms : loadModel
[21:17:31] [I] Prof:           1.175ms : createVertexBuffer
[21:17:31] [I] Prof:           0.867ms : createIndexBuffer
[21:17:31] [I] Prof:           0.068ms : createDescriptorSetLayout
[21:17:31] [I] Prof:              21.372ms : createSwapchain
[21:17:31] [I] Prof:               0.039ms : createSwapchainImageViews
[21:17:31] [I] Prof:               0.118ms : createRenderPass
[21:17:31] [I] Prof:               1.915ms : createGraphicsPipeline
[21:17:31] [I] Prof:               0.268ms : createColorResources
[21:17:31] [I] Prof:               1.614ms : createDepthResources
[21:17:31] [I] Prof:               0.033ms : createFramebuffers
[21:17:31] [I] Prof:               0.190ms : createUniformBuffers
[21:17:31] [I] Prof:               0.026ms : createDescriptorPool
[21:17:31] [I] Prof:               0.126ms : createDescriptorSets
[21:17:31] [I] Prof:               0.276ms : createCommandBuffers
[21:17:31] [I] Prof:          27.494ms : createSwapchainAndRelatedThings
[21:17:31] [I] Prof:     828.759ms : init
[21:17:33] [I] Prof:      12.393ms : cleanup
